modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8457424349049966,0.537563919547267,0.8485101697111025,0.6580053783072458,0.9235816437943549
LinearSVC,0.8467276565798734,0.539775350218294,0.8420682730923696,0.6577224501535308,0.9232130197964553
KNN,0.8002814919071076,0.46003972734082277,0.813087835211815,0.58739936522342,0.8815026254252267
DecisionTree,0.8285714285714285,0.5066753556877284,0.8066491773545795,0.6222624808256849,0.8199322630573253
